origin	destination	great_circle_dist_km
canada	united_states	1077.10699074
canada	bermuda	2561.70138753
canada	mexico	2997.40071085
canada	belize	3248.79369438
canada	guatemala	3556.07697568
canada	honduras	3542.40274495
canada	el_salvador	3667.524282
canada	nicaragua	3823.34285747
canada	costa_rica	4102.8131452
canada	panama	4278.93870895
canada	bahamas	2553.29629255
canada	cuba	2860.41875608
canada	turks_caicos_islands	3158.98584618
canada	cayman_islands	3110.19052276
canada	jamaica	3346.20135091
canada	haiti	3422.22146213
canada	dominican_republic	3509.78423905
canada	puerto_rico	3745.20200698
canada	united_states_virgin_islands	3825.9853792
canada	saint_kitts_nevis	4513.65569683
canada	antigua_barbuda	4092.07914765
canada	guadeloupe	4187.1024293
canada	dominica	4282.46055977
canada	martinique	4374.52533595
canada	saint_lucia	4444.78720575
canada	saint_vincent_grenadines	4506.23148624
canada	barbados	4595.7633887
canada	grenada	4581.52709545
canada	trinidad_tobago	4760.21172266
canada	curacao	4253.05901738
canada	aruba	4173.37768226
canada	french_guiana	5747.2614652
canada	suriname	5536.53312564
canada	guyana	5317.87914868
canada	venezuela	4514.52723701
canada	colombia	4707.47522348
canada	ecuador	5432.66982587
canada	peru	6520.55218455
canada	bolivia	7486.09037769
canada	brazil	8367.04785097
canada	paraguay	8609.01238787
canada	uruguay	9541.88040825
canada	argentina	9244.67627581
canada	chile	9105.82616674
united_states	canada	1077.10699074
united_states	bermuda	2646.70102104
united_states	mexico	1922.06469662
united_states	belize	2293.14332244
united_states	guatemala	2558.17928362
united_states	honduras	2600.36515012
united_states	el_salvador	2694.66435637
united_states	nicaragua	2901.25597195
united_states	costa_rica	3210.65912936
united_states	panama	3462.74127176
united_states	bahamas	2008.60543595
united_states	cuba	2176.08655778
united_states	turks_caicos_islands	2718.31689563
united_states	cayman_islands	2340.63599071
united_states	jamaica	2684.91026349
united_states	haiti	2903.10965566
united_states	dominican_republic	3054.53969603
united_states	puerto_rico	3383.73943363
united_states	united_states_virgin_islands	3497.28293613
united_states	saint_kitts_nevis	4403.12110846
united_states	antigua_barbuda	3815.24931603
united_states	guadeloupe	3900.11776153
united_states	dominica	3983.75632443
united_states	martinique	4070.36594877
united_states	saint_lucia	4129.24455411
united_states	saint_vincent_grenadines	4172.41476404
united_states	barbados	4296.48767079
united_states	grenada	4220.35436172
united_states	trinidad_tobago	4379.13376353
united_states	curacao	3723.37650621
united_states	aruba	3623.3222873
united_states	french_guiana	5459.87038486
united_states	suriname	5214.52277397
united_states	guyana	4950.44812
united_states	venezuela	3987.18106768
united_states	colombia	3981.40842916
united_states	ecuador	4583.2021216
united_states	peru	5682.08119617
